city,address,postalCode,latitude,longitude,features,hasArtwork,storeName,storeNumber,closeTime,openTime
福州市,台江区鳌峰广场地上一层的自编 1F11 号单元鳌峰路与连江中路（鳌峰大桥）交汇处,350000,26.056262,119.337615,"['OG', 'DL']",False,福州鳌峰路分店,51668-277524,22:30:00,08:00:00
福州市,福建省福州市台江区鳌峰街道光明南路1号（原鳌峰路南侧）升龙大厦商业附属楼一层01集中式商业01单元,350000,26.054785,119.339901,"['OG', 'DL', 'PO']",False,福州升龙汇金分店,55507-289403,20:00:00,07:30:00
福州市,台江区金融街万达广场鳌江路8号,350000,26.051802,119.343124,"['OG', 'DL', 'MIC', 'NCB', 'PO']",False,福州万达广场店,18039-156712,23:00:00,07:30:00
福州市,鼓楼区福州山姆会员店为F1F0025洪山镇杨桥西路128号,350000,26.077288,119.263091,"['OG', 'DL', 'MIC']",False,福州山姆会员店分店,48438-250286,22:00:00,08:00:00
福州市,台江区None上海街道西环中路691号,350000,26.063712,119.290882,"['OG', 'DL', 'MIC', 'NCB', 'PO', 'SBB']",False,福州万象商业广场分店,18806-190770,23:00:00,07:30:00
福州市,台江区群升国际二期E地块2号楼第一层的1102单元八一七路760号,350000,26.058778,119.30499,"['OG', 'DL']",False,福州群升东百分店,20209-204092,22:30:00,07:30:00
福州市,台江区福州宝龙城市广场（一期）地面一层宁化街道工业路193号,350001,26.06211,119.291627,"['OG', 'DL', 'MIC']",False,福州宝龙广场店,48102-258385,22:30:00,09:00:00
福州市,福州市台江区工业路199号中防万宝城第L2层的MPL2-326单元,350000,26.062491,119.289837,"['OG', 'DL']",False,福州中防万宝城分店,51949-279744,22:00:00,10:00:00
福州市,台江区元洪城商场地下一层的 04 单元瀛洲街道台江路 95 号,350000,26.052359,119.315555,"['OG', 'DL']",False,福州元洪东百分店,22530-218005,23:00:00,08:00:00
福州市,台江区苏宁广场地上第一层的110室工业路233号,350000,26.06159,119.286733,"['OG', 'DL']",False,福州苏宁广场分店,19536-201611,23:00:00,07:30:00
福州市,台江区第一层的 101 单元苍霞路 13 号,350000,26.050422,119.31018,"['OG', 'DL']",False,福州青年会分店,20976-208426,23:00:00,07:30:00
福州市,台江区三迪中心地上第一层的 1-01 单元振武路55号,350000,26.056808,119.285026,"['OG', 'DL', 'MIC']",False,福州三迪中心店,48798-265069,22:30:00,07:30:00
福州市,马尾区名城城市广场8#楼1881 商业街江滨东大道68-8 号,350000,26.016387,119.399375,"['OG', 'DL', 'PO']",False,福州马尾名城中心分店,49515-269544,22:00:00,08:00:00
福州市,福建省福州市仓山区城门镇潘墩路西侧闽江世-F1-047/048单元纪城零售商区地上一层自编号MJ-SP-0,350000,26.02274,119.357973,"['OG', 'DL', 'PO']",False,福州世纪金源分店,58867-293153,22:30:00,07:30:00
福州市,仓山区红星国际广场地上一层的F1012单元浦上大道与闽江大道交汇处,350000,26.040395,119.280071,"['OG', 'DL', 'MIC', 'NCB', 'PO']",False,福州红星国际广场店,23788-229387,22:30:00,07:30:00
福州市,闽侯县16#楼地上一层1001单元国宾大道268号永嘉天地,350000,26.068722,119.202047,"['OG', 'DL', 'MIC', 'PO']",False,福州闽侯永嘉天地店,47659-255584,22:30:00,08:30:00
福州市,马尾区中环广场地上一层C01号商铺马江园区罗星路西北侧,350000,25.994611,119.466146,"['OG', 'DL', 'PO']",False,福州马尾中环广场店,47395-255307,22:30:00,08:00:00
福州市,浦上大道None仓山/万达广场室内步行街1-55号商铺,350000,26.035916,119.275041,"['OG', 'DL', 'MIC', 'NCB', 'PO']",False,福州仓山万达店,16293-162447,23:00:00,07:30:00
福州市,福建省福州市仓山区浦上大道306号,350000,26.033658,119.268259,"['OG', 'DL', 'MIC']",False,福州万象里分店,57316-291401,22:00:00,08:00:00
